ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
23045450;Defeito;Implementado;CR023 - SIREP;[DEFEITO] 23045450 - SIREP -  Ao realizar vinculação de um fornecedor em um convênio ativo, o sistema não permite se ele estiver vinculado a um convênio inativo (Liquidado).;SIREP;Crédito Comercial e Agronegócio;Testes Funcionais;Q1;Fabiana Baptista Pontes;45764;;1
23045365;Defeito;Novo;;SIRIM - DEFEITO - Divergência do nome da planilha Excel da Consulta Marcação conforme a documentação;SIRIM;Risco, Compliance e Adimplência;Sem Atuação da GEQTI;Q2;Roney Mendes Vieira;45764;;1
23045306;Defeito;Implantado;CB002 - Cobrança;SIGCB - PIX - Alterações de boletos hibridos não notificadas ao SISPI;SIGCB;Cobrança e Operações Bancárias;Sem Atuação da GEQTI;Q2;Nabor Rabelo Sobrinho Junior;45764;45775;1
23045296;Defeito;Em Desenvolvimento;CD048 - Jurídico;SIJUR - ETL - Dados inseridos em base errada;SIJUR;Clientes;Sem Atuação da GEQTI;Q1;Wendel Lopes dos Santos;45764;;1
23045287;Defeito;Pronto;ES005 - Troca de Arquivos entre Sistemas e Servidores;ANALISE INC000009492712/RTC23043443 - Produção.7259APL-SIB2B.Indisponibilidade total do sistema - SIPBS;SIB2B;Estruturantes de TI;Sem Atuação da GEQTI;Q1;Edson Ferreira Lessa;45764;;1
23045263;Defeito;Implantado;SG005 - Squad Permissionamento;SIPER - webservice CICS not found - validarSenhaMultiplaTran - Modernização MTX;SIPER;Gestão de Identidade, Acesso e Antifraude;Testes Funcionais;Q2;Carolina Ladeia de Agustini;45764;45775;1
23045221;Defeito;Novo;;GEFAC03 - REQ000139046755 - Erro bloqueio de cheque;SID05;Depósitos e Captação;Sem Atuação da GEQTI;Q2;Leonardo Gomes Petrillo;45764;;1
23045208;Defeito;Preparado;DC001 - Sustentação e At. Critico - NSGD SP;SID03 - Consulta talões e cheques existentes na base retornam registro não encontrado;SID03;Depósitos e Captação;Sem Atuação da GEQTI;Q2;Lidia Carla Cajal Van Bladel;45764;;1
23044898;Defeito;Em Desenvolvimento;PE019 - Autoatendimento Saúde;GESAD03 - Adriano - SIASC - [Defeito] Erros generalizados para a matrícula 136626-9;SIASC;Pessoas;Sem Atuação da GEQTI;Q3;Adriano Arruda Alves;45764;;1
23044799;Defeito;Novo;DC009 - Squad 4 Sustentação - LCR - NSGD BR;SILCR - Erro - Cobrança de IOF - contrato 000577294702 - 4;SILCR;Depósitos e Captação;Certificação;Q3;Maria Inacia de Souza;45764;;1
